FIPS,name,Total Households,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999",Households: $200K or Above,≤ $35K (30% AMI),≤ $60K (50% AMI)
06037297602,"Census Tract 2976.02, Los Angeles, CA",1697,107,146,44,76,38,122,46,52,9,89,114,236,240,76,107,195,533,729
06037301702,"Census Tract 3017.02, Los Angeles, CA",2133,190,113,104,52,88,93,131,81,48,80,321,200,227,44,154,207,640,980
06037320102,"Census Tract 3201.02, Los Angeles, CA",917,64,0,28,0,40,71,59,9,24,41,99,94,81,69,68,170,203,336
06037980008,"Census Tract 9800.08, Los Angeles, CA",33,0,17,0,0,0,0,0,0,0,16,0,0,0,0,0,0,17,33
06037980009,"Census Tract 9800.09, Los Angeles, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06037980010,"Census Tract 9800.10, Los Angeles, CA",56,13,0,4,10,0,0,0,15,0,0,5,0,5,4,0,0,27,42
06037980014,"Census Tract 9800.14, Los Angeles, CA",10,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,6
06037980015,"Census Tract 9800.15, Los Angeles, CA",480,54,84,24,5,4,17,9,38,16,21,33,74,33,12,19,37,188,272
06037980017,"Census Tract 9800.17, Los Angeles, CA",38,11,4,0,11,0,0,0,0,9,0,0,0,0,3,0,0,26,35
06037980019,"Census Tract 9800.19, Los Angeles, CA",29,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,20,5,5
06037980020,"Census Tract 9800.20, Los Angeles, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06037980021,"Census Tract 9800.21, Los Angeles, CA",13,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,9
06037980022,"Census Tract 9800.22, Los Angeles, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06037980023,"Census Tract 9800.23, Los Angeles, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06037980024,"Census Tract 9800.24, Los Angeles, CA",82,5,20,0,0,0,0,5,0,0,0,0,4,0,0,38,10,25,30
06037980026,"Census Tract 9800.26, Los Angeles, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06037980028,"Census Tract 9800.28, Los Angeles, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06037980031,"Census Tract 9800.31, Los Angeles, CA",10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0
06037980039,"Census Tract 9800.39, Los Angeles, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06037990200,"Census Tract 9902, Los Angeles, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
